DateTime_frmt,sno,i,DateTime,Ask,Bid,tick,sema,lema,slema,o,h,l,c,switch_point,h_line_1,l_line_1,h_line_2,l_line_2,h_line_3,l_line_3,m,b
2021-01-05 02:27:01.312,0,0,20210105 02:27:01.312,1.22623,1.22619,1.22621,1.226185,1.225871,1.226122,1.22621,,,,0,,,,,,,,
2021-01-05 02:27:05.052,1,0,20210105 02:27:05.052,1.22624,1.22619,1.226215,1.226186,1.225872,1.226123,,,,,0,,,,,,,,
2021-01-05 02:27:08.837,2,0,20210105 02:27:08.837,1.22623,1.22619,1.22621,1.226187,1.225872,1.226124,,,,,0,,,,,,,,
2021-01-05 02:27:10.648,3,0,20210105 02:27:10.648,1.22622,1.22619,1.226205,1.226187,1.225872,1.226124,,,,,0,,,,,,,,
2021-01-05 02:27:10.964,4,0,20210105 02:27:10.964,1.22622,1.22618,1.2262,1.226188,1.225872,1.226124,,,,,0,,,,,,,,
2021-01-05 02:27:11.075,5,0,20210105 02:27:11.075,1.22621,1.22618,1.226195,1.226188,1.225872,1.226125,,,1.226195,,0,,,,,,,,
2021-01-05 02:27:11.245,6,0,20210105 02:27:11.245,1.22622,1.22618,1.2262,1.226189,1.225872,1.226125,,,,,0,,,,,,,,
2021-01-05 02:27:12.700,7,0,20210105 02:27:12.700,1.22621,1.22618,1.226195,1.226189,1.225873,1.226126,,,,,0,,,,,,,,
2021-01-05 02:27:14.381,8,0,20210105 02:27:14.381,1.22622,1.22618,1.2262,1.226189,1.225873,1.226126,,,,,0,,,,,,,,
2021-01-05 02:27:25.230,9,0,20210105 02:27:25.230,1.22623,1.22618,1.226205,1.22619,1.225873,1.226127,,,,,0,,,,,,,,
2021-01-05 02:27:26.880,10,0,20210105 02:27:26.880,1.22624,1.2262,1.22622,1.226191,1.225873,1.226127,,,,,0,,,,,,,,
2021-01-05 02:27:26.983,11,0,20210105 02:27:26.983,1.22624,1.22619,1.226215,1.226192,1.225873,1.226128,,,,,0,,,,,,,,
2021-01-05 02:27:29.179,12,0,20210105 02:27:29.179,1.22623,1.22619,1.22621,1.226192,1.225874,1.226128,,,,,0,,,,,,,,
2021-01-05 02:27:33.244,13,0,20210105 02:27:33.244,1.22622,1.22619,1.226205,1.226193,1.225874,1.226129,,,,,0,,,,,,,,
2021-01-05 02:27:35.213,14,0,20210105 02:27:35.213,1.22624,1.2262,1.22622,1.226194,1.225874,1.226129,,,,,0,,,,,,,,
2021-01-05 02:27:35.365,15,0,20210105 02:27:35.365,1.22624,1.22621,1.226225,1.226195,1.225874,1.22613,,,,,0,,,,,,,,
2021-01-05 02:27:35.669,16,0,20210105 02:27:35.669,1.22624,1.2262,1.22622,1.226196,1.225874,1.226131,,,,,0,,,,,,,,
2021-01-05 02:27:36.763,17,0,20210105 02:27:36.763,1.22624,1.22619,1.226215,1.226197,1.225874,1.226131,,,,,0,,,,,,,,
2021-01-05 02:27:37.562,18,0,20210105 02:27:37.562,1.22624,1.2262,1.22622,1.226198,1.225875,1.226132,,,,,0,,,,,,,,
2021-01-05 02:27:41.454,19,0,20210105 02:27:41.454,1.22625,1.22621,1.22623,1.2262,1.225875,1.226132,,,,,0,,,,,,,,
2021-01-05 02:27:43.168,20,0,20210105 02:27:43.168,1.22625,1.22622,1.226235,1.226201,1.225875,1.226133,,,,,0,,,,,,,,
