date,time,instrument,direction,ordr_type,units,profit_pips,close_reason,Iterations,orderID
2020-06-16,09:57:46,EUR_USD,no_direction,,,,,,
2020-06-16,09:59:27,EUR_USD,positive,long,1,-0.0003,Stop_Loss,103,814
2020-06-16,09:59:43,EUR_USD,no_direction,,,,,,
2020-06-16,10:16:31,EUR_USD,no_direction,,,,,,
2020-06-16,10:16:48,EUR_USD,no_direction,,,,,,
2020-06-16,10:18:08,EUR_USD,negative,short,-1,-0.0004,Stop_Loss,71,818
2020-06-16,10:19:07,EUR_USD,negative,short,-1,0.0002,Programmed_close,54,823
2020-06-16,10:19:27,EUR_USD,negative,short,-1,0.0001,Programmed_close,22,829
2020-06-16,10:20:00,EUR_USD,negative,short,-1,-0.0003,Stop_Loss,37,834
2020-06-16,10:20:30,EUR_USD,negative,short,-1,-0.0003,Stop_Loss,8,838
2020-06-16,10:20:44,EUR_USD,no_direction,,,,,,
2020-06-16,10:21:03,EUR_USD,no_direction,,,,,,
2020-06-16,10:21:25,EUR_USD,no_direction,,,,,,
2020-06-16,10:28:23,EUR_USD,no_direction,,,,,,
2020-06-16,10:28:38,EUR_USD,no_direction,,,,,,
2020-06-16,10:29:00,EUR_USD,no_direction,,,,,,
2020-06-16,10:31:33,EUR_USD,no_direction,,,,,,
2020-06-16,10:31:48,EUR_USD,no_direction,,,,,,
2020-06-16,10:32:10,EUR_USD,no_direction,,,,,,
2020-06-16,10:35:47,EUR_USD,no_direction,,,,,,
2020-06-16,10:36:12,EUR_USD,no_direction,,,,,,
2020-06-16,10:39:26,EUR_USD,negative,short,-1,0.0002,Programmed_close,181,843
2020-06-16,11:55:44,EUR_USD,no_direction,,,,,,
2020-06-16,11:56:10,EUR_USD,no_direction,,,,,,
2020-06-16,12:27:32,EUR_USD,positive,long,1,-0.0002,Min trans moves,30,855
2020-06-16,12:33:12,EUR_USD,positive,long,1,0.0000,Min trans moves,31,861
2020-06-16,12:33:26,EUR_USD,positive,long,1,-0.0001,Min trans moves,30,867
2020-06-16,12:34:13,EUR_USD,positive,long,1,0.0002,Take_profit,43,873
2020-06-16,12:34:22,EUR_USD,positive,long,1,0.0004,Take_profit,19,879
2020-06-16,12:34:28,EUR_USD,positive,long,1,0.0001,Take_profit,15,885
2020-06-16,12:34:43,EUR_USD,positive,long,1,0.0000,Min trans moves,30,891
2020-06-16,12:34:56,EUR_USD,positive,long,1,0.0002,Take_profit,30,897
2020-06-16,12:35:08,EUR_USD,positive,long,1,-0.0002,Min trans moves,31,903
2020-06-16,12:35:22,EUR_USD,no_direction,,,,,,
2020-06-16,12:35:48,EUR_USD,positive,long,1,-0.0001,Min trans moves,30,909
2020-06-16,12:43:36,EUR_USD,no_direction,,,,,,
2020-06-16,12:44:30,EUR_USD,positive,long,1,-0.0006,Min trans moves,46,915
2020-06-16,12:44:50,EUR_USD,no_direction,,,,,,
2020-06-16,12:45:19,EUR_USD,no_direction,,,,,,
2020-06-16,12:49:22,EUR_USD,no_direction,,,,,,
2020-06-16,12:49:52,EUR_USD,negative,short,-1,0.0002,Take_profit,22,921
2020-06-16,12:50:11,EUR_USD,negative,short,-1,0.0000,Min trans moves,30,927
2020-06-16,12:50:28,EUR_USD,negative,short,-1,-0.0004,Min trans moves,31,933
2020-06-16,12:50:45,EUR_USD,no_direction,,,,,,
2020-06-16,12:51:23,EUR_USD,negative,short,-1,0.0000,Min trans moves,30,939
2020-06-16,12:51:37,EUR_USD,negative,short,-1,-0.0005,Min trans moves,30,945
2020-06-16,12:53:30,EUR_USD,positive,long,1,0.0001,Take_profit,161,951
2020-06-16,12:53:50,EUR_USD,positive,long,1,0.0000,Min trans moves,30,957
2020-06-16,12:53:59,EUR_USD,positive,long,1,0.0002,Take_profit,16,963
