seconds_elapsed,sec_per_iter,iter_counts,heart_beats,iter_per,heart_per,short_moving_window,long_moving_window,lists_size,chart_duration
14.0,2.0,8,2,0.8,0.2,2,3,5,0:0:7
93.0,1.0,82,18,0.82,0.18,20,300,500,0:18:48
114.0,1.0,78,22,0.78,0.22,20,300,100,0:11:29
84.0,1.0,84,16,0.84,0.16,20,300,100,0:10:58
87.0,1.0,84,16,0.84,0.16,20,300,100,0:5:26
58.0,1.0,90,10,0.9,0.1,20,400,100,0:5:42
86.0,1.0,84,16,0.84,0.16,20,200,100,0:5:50
263.0,3.0,48,52,0.48,0.52,20,500,500,0:58:28
103.0,1.0,80,20,0.8,0.2,20,500,100,0:11:51
71.0,1.0,87,13,0.87,0.13,20,350,100,0:9:9
109.0,1.0,79,21,0.79,0.21,20,350,100,0:8:28
100.0,1.0,81,19,0.81,0.19,20,100,100,0:4:31
