ERROR:root:--- Timestamp-2021-04-20 14:48:45.334243, Error-Time difference is above limit
ERROR:root:--- Timestamp-2021-04-20 14:48:45.724980, Error-Time difference is above limit
ERROR:root:--- Timestamp-2021-04-20 14:48:46.223578, Error-Time difference is above limit
ERROR:root:--- Timestamp-2021-04-20 14:48:46.781327, Error-Time difference is above limit
ERROR:root:--- Timestamp-2021-04-20 14:48:47.320918, Error-Time difference is above limit
ERROR:root:--- Timestamp-2021-04-20 14:48:47.842124, Error-Time difference is above limit
ERROR:root:--- Timestamp-2021-04-20 14:48:48.383525, Error-Time difference is above limit
ERROR:root:--- Timestamp-2021-04-20 14:48:48.896974, Error-KeyboardInterrupt
ERROR:root:--- Timestamp-2021-04-20 14:49:37.600979, Error-KeyboardInterrupt
ERROR:root:--- Timestamp-2021-04-20 14:51:49.995194, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:51:51.261894, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:51:51.650522, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:51:51.990235, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:51:52.522383, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:51:52.913127, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:51:54.212786, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:51:54.558600, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:51:55.004092, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:51:55.580291, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:51:56.083701, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:51:56.496358, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:51:58.251619, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:51:59.471220, Error-KeyboardInterrupt
ERROR:root:--- Timestamp-2021-04-20 14:52:34.807839, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:52:35.283833, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:52:35.818304, Error-'candle_avg_height'
