T,O,H,L,C,V
2019-09-30 01:00:00+00:00,107.908,108.008,107.891,107.933,1119.0
2019-09-30 02:00:00+00:00,107.935,107.956,107.892,107.952,433.0
2019-09-30 03:00:00+00:00,107.955,107.956,107.909,107.947,333.0
2019-09-30 04:00:00+00:00,107.944,107.962,107.848,107.88,392.0
2019-09-30 05:00:00+00:00,107.882,107.89,107.754,107.778,666.0
2019-09-30 06:00:00+00:00,107.78,107.87,107.776,107.826,900.0
2019-09-30 07:00:00+00:00,107.823,107.862,107.744,107.862,955.0
2019-09-30 08:00:00+00:00,107.86,107.91,107.842,107.902,868.0
2019-09-30 09:00:00+00:00,107.905,107.978,107.886,107.972,592.0
2019-09-30 10:00:00+00:00,107.974,107.976,107.92,107.928,303.0
2019-09-30 11:00:00+00:00,107.926,107.982,107.887,107.956,443.0
2019-09-30 12:00:00+00:00,107.954,108.096,107.954,107.996,1075.0
2019-09-30 13:00:00+00:00,107.992,108.099,107.966,108.026,1357.0
2019-09-30 14:00:00+00:00,108.023,108.106,107.926,108.076,1448.0
2019-09-30 15:00:00+00:00,108.078,108.148,108.004,108.114,1361.0
2019-09-30 16:00:00+00:00,108.112,108.147,108.064,108.145,566.0
2019-09-30 17:00:00+00:00,108.148,108.179,108.116,108.12,502.0
2019-09-30 18:00:00+00:00,108.118,108.144,108.058,108.08,436.0
2019-09-30 19:00:00+00:00,108.082,108.121,108.058,108.114,571.0
2019-09-30 20:00:00+00:00,108.116,108.146,108.068,108.074,162.0
2019-09-30 21:00:00+00:00,108.086,108.13,108.06,108.082,154.0
2019-09-30 22:00:00+00:00,108.079,108.085,108.05,108.073,131.0
2019-09-30 23:00:00+00:00,108.071,108.102,108.058,108.06,207.0
2019-10-01 00:00:00+00:00,108.058,108.172,108.044,108.146,556.0
2019-10-01 01:00:00+00:00,108.144,108.228,108.125,108.197,624.0
2019-10-01 02:00:00+00:00,108.2,108.226,108.187,108.218,330.0
2019-10-01 03:00:00+00:00,108.22,108.266,108.196,108.258,326.0
2019-10-01 04:00:00+00:00,108.261,108.296,108.232,108.234,460.0
2019-10-01 05:00:00+00:00,108.237,108.254,108.178,108.18,445.0
2019-10-01 06:00:00+00:00,108.178,108.292,108.168,108.242,549.0
2019-10-01 07:00:00+00:00,108.24,108.43,108.216,108.347,973.0
2019-10-01 08:00:00+00:00,108.345,108.47,108.323,108.407,906.0
2019-10-01 09:00:00+00:00,108.405,108.414,108.326,108.35,630.0
2019-10-01 10:00:00+00:00,108.348,108.376,108.236,108.286,569.0
2019-10-01 11:00:00+00:00,108.288,108.356,108.226,108.356,431.0
2019-10-01 12:00:00+00:00,108.354,108.421,108.269,108.367,587.0
2019-10-01 13:00:00+00:00,108.364,108.45,108.306,108.39,1122.0
2019-10-01 14:00:00+00:00,108.388,108.388,107.822,107.846,5181.0
2019-10-01 15:00:00+00:00,107.848,107.862,107.652,107.71,2183.0
2019-10-01 16:00:00+00:00,107.706,107.754,107.628,107.695,1783.0
2019-10-01 17:00:00+00:00,107.692,107.76,107.64,107.7,1215.0
2019-10-01 18:00:00+00:00,107.702,107.781,107.654,107.734,930.0
2019-10-01 19:00:00+00:00,107.73,107.781,107.686,107.706,974.0
2019-10-01 20:00:00+00:00,107.708,107.755,107.68,107.752,255.0
2019-10-01 21:00:00+00:00,107.744,107.766,107.734,107.76,42.0
2019-10-01 22:00:00+00:00,107.763,107.763,107.704,107.754,447.0
2019-10-01 23:00:00+00:00,107.756,107.758,107.7,107.748,439.0
2019-10-02 00:00:00+00:00,107.75,107.762,107.646,107.706,828.0
2019-10-02 01:00:00+00:00,107.71,107.74,107.648,107.733,690.0
2019-10-02 02:00:00+00:00,107.731,107.788,107.702,107.778,471.0
2019-10-02 03:00:00+00:00,107.776,107.892,107.772,107.874,398.0
2019-10-02 04:00:00+00:00,107.877,107.882,107.818,107.832,379.0
2019-10-02 05:00:00+00:00,107.83,107.871,107.786,107.802,496.0
2019-10-02 06:00:00+00:00,107.805,107.842,107.763,107.764,554.0
2019-10-02 07:00:00+00:00,107.766,107.792,107.552,107.678,1574.0
2019-10-02 08:00:00+00:00,107.681,107.733,107.573,107.651,976.0
2019-10-02 09:00:00+00:00,107.648,107.695,107.586,107.646,846.0
2019-10-02 10:00:00+00:00,107.648,107.692,107.56,107.593,713.0
2019-10-02 11:00:00+00:00,107.59,107.598,107.496,107.532,801.0
2019-10-02 12:00:00+00:00,107.534,107.603,107.422,107.426,1444.0
2019-10-02 13:00:00+00:00,107.428,107.53,107.366,107.421,1919.0
2019-10-02 14:00:00+00:00,107.418,107.494,107.262,107.341,2277.0
2019-10-02 15:00:00+00:00,107.339,107.362,107.154,107.214,1657.0
2019-10-02 16:00:00+00:00,107.212,107.256,107.108,107.111,1157.0
2019-10-02 17:00:00+00:00,107.109,107.209,107.048,107.1,1219.0
2019-10-02 18:00:00+00:00,107.098,107.228,107.087,107.201,1053.0
2019-10-02 19:00:00+00:00,107.204,107.23,107.159,107.208,883.0
2019-10-02 20:00:00+00:00,107.21,107.213,107.136,107.182,353.0
2019-10-02 21:00:00+00:00,107.188,107.21,107.148,107.162,148.0
2019-10-02 22:00:00+00:00,107.158,107.188,107.15,107.178,2240.0
2019-10-02 23:00:00+00:00,107.176,107.21,107.161,107.164,420.0
2019-10-03 00:00:00+00:00,107.166,107.168,106.966,107.034,1227.0
2019-10-03 01:00:00+00:00,107.032,107.164,107.03,107.124,723.0
2019-10-03 02:00:00+00:00,107.122,107.173,107.098,107.11,478.0
2019-10-03 03:00:00+00:00,107.112,107.191,107.112,107.16,405.0
2019-10-03 04:00:00+00:00,107.158,107.191,107.11,107.168,382.0
2019-10-03 05:00:00+00:00,107.166,107.186,107.116,107.136,370.0
2019-10-03 06:00:00+00:00,107.134,107.286,107.084,107.272,1056.0
2019-10-03 07:00:00+00:00,107.27,107.298,107.21,107.231,1309.0
2019-10-03 08:00:00+00:00,107.228,107.27,107.086,107.114,1010.0
2019-10-03 09:00:00+00:00,107.112,107.153,107.052,107.152,642.0
2019-10-03 10:00:00+00:00,107.15,107.204,107.058,107.066,531.0
2019-10-03 11:00:00+00:00,107.064,107.082,106.872,106.918,886.0
